WOORI	172.11.1.2
[172-12-2-32.lightspeed.sgnwmi.sbcglobal.net](172-12-2-32.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.32
[172-12-2-33.lightspeed.sgnwmi.sbcglobal.net](172-12-2-33.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.33
[172-12-2-37.lightspeed.sgnwmi.sbcglobal.net](172-12-2-37.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.37
[172-12-2-38.lightspeed.sgnwmi.sbcglobal.net](172-12-2-38.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.38
[172-12-2-39.lightspeed.sgnwmi.sbcglobal.net](172-12-2-39.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.39
172.12.2.40 main pos (172-12-2-40.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.40
[172-12-2-41.lightspeed.sgnwmi.sbcglobal.net](172-12-2-41.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.41
[172-12-2-42.lightspeed.sgnwmi.sbcglobal.net](172-12-2-42.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.42
[172-12-2-43.lightspeed.sgnwmi.sbcglobal.net](172-12-2-43.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.43
[172-12-2-47.lightspeed.sgnwmi.sbcglobal.net](172-12-2-47.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.47
[172-12-2-48.lightspeed.sgnwmi.sbcglobal.net](172-12-2-48.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.48
[172-12-2-49.lightspeed.sgnwmi.sbcglobal.net](172-12-2-49.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.49
[172-12-2-50.lightspeed.sgnwmi.sbcglobal.net](172-12-2-50.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.50
[172-12-2-51.lightspeed.sgnwmi.sbcglobal.net](172-12-2-51.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.51
[172-12-2-52.lightspeed.sgnwmi.sbcglobal.net](172-12-2-52.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.52
DESKTOP-MBBAMKB 172.12.2.53
[172-12-2-54.lightspeed.sgnwmi.sbcglobal.net](172-12-2-54.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.54
[172-12-2-55.lightspeed.sgnwmi.sbcglobal.net](172-12-2-55.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.55
 172.12.2.56
[172-12-2-57.lightspeed.sgnwmi.sbcglobal.net](172-12-2-57.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.57
 172.12.2.58
[172-12-2-60.lightspeed.sgnwmi.sbcglobal.net](172-12-2-60.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.60
[172-12-2-61.lightspeed.sgnwmi.sbcglobal.net](172-12-2-61.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.61
[172-12-2-62.lightspeed.sgnwmi.sbcglobal.net](172-12-2-62.lightspeed.sgnwmi.sbcglobal.net) 172.12.2.62
